bin,n,p_mean,y_freq,ci_lo,ci_hi
0,3109,0.014824541653264715,0.008041170794467674,0.0050170242973158466,0.011530661474772467
1,729,0.07184087791495199,0.039780521262002745,0.026203898050974513,0.053739391911361456
2,426,0.12321361502347417,0.09859154929577464,0.07327428905873441,0.12745377194157845
3,244,0.17188524590163934,0.11885245901639344,0.07883228541919585,0.16087081459270364
4,236,0.22184322033898304,0.1864406779661017,0.13983897268650633,0.23578356059151143
5,202,0.271480198019802,0.21287128712871287,0.15789473684210525,0.2731391821128751
6,124,0.3284193548387097,0.27419354838709675,0.19996031746031748,0.35294117647058826
7,110,0.37532272727272725,0.3181818181818182,0.22880750605326877,0.40708784005244186
8,102,0.42096568627450975,0.3431372549019608,0.24994469026548674,0.4348041325871717
9,94,0.47577127659574464,0.3191489361702128,0.2325134168157424,0.4175824175824176
10,109,0.5153990825688073,0.3211009174311927,0.23950284090909094,0.40199948400412794
11,84,0.573827380952381,0.42857142857142855,0.3217641179410295,0.5354312354312354
12,64,0.6258125,0.625,0.5,0.7454689754689755
13,90,0.6745222222222222,0.6,0.49556901827805805,0.7010338902713591
14,63,0.7283492063492063,0.7619047619047619,0.6457794540229885,0.8704292929292928
15,71,0.7742676056338028,0.7605633802816901,0.6617647058823529,0.8591604313380281
16,68,0.8245882352941177,0.8823529411764706,0.7894338118022328,0.9655270376175549
17,58,0.8754224137931035,0.8620689655172413,0.7611859182349123,0.9464520676691729
18,119,0.9279873949579831,0.9327731092436975,0.885939683278994,0.9722222222222222
19,231,0.9736341991341991,0.9913419913419913,0.9791630244755244,1.0
