bin,n,p_mean,y_freq,ci_lo,ci_hi
0,1639,0.01610463697376449,0.006101281269066504,0.0026646512521480634,0.009885239797818024
1,467,0.06938758029978588,0.03640256959314775,0.019762195756188893,0.05162771147886859
2,276,0.12383333333333332,0.09782608695652174,0.06481041402619349,0.13495030687242696
3,157,0.17444267515923567,0.12101910828025478,0.07453416149068323,0.17780353200883
4,127,0.22387401574803148,0.16535433070866143,0.10713604143947655,0.23530607364897177
5,97,0.2742164948453608,0.2268041237113402,0.1465396164277412,0.31002777777777774
6,66,0.3275075757575758,0.36363636363636365,0.25,0.4754293520686963
7,62,0.3756209677419355,0.27419354838709675,0.1746031746031746,0.3867014925373134
8,51,0.4260098039215687,0.3137254901960784,0.1864092906465788,0.45
9,70,0.4712928571428571,0.3142857142857143,0.20477692018072288,0.4630268199233716
10,101,0.5128217821782178,0.2871287128712871,0.18458715596330277,0.4177215189873418
11,46,0.5741195652173914,0.391304347826087,0.25489304812834224,0.5577205882352941
12,40,0.6244375,0.75,0.6,0.8919350201265095
13,35,0.6690571428571429,0.5428571428571428,0.3634164222873901,0.7027277277277277
14,34,0.7249117647058823,0.5882352941176471,0.41855620155038764,0.75
15,31,0.7776774193548387,0.8064516129032258,0.6666666666666666,0.9375
16,53,0.8269716981132075,0.7924528301886793,0.6811304347826087,0.8909090909090909
17,41,0.8709756097560976,0.7317073170731707,0.5951298701298702,0.8604812661498707
18,74,0.929918918918919,0.9594594594594594,0.8999576271186441,1.0
19,129,0.9715348837209302,0.9922480620155039,0.974570838765754,1.0
