bin,n,p_mean,y_freq,ci_lo,ci_hi
0,9647,0.011790919456825956,0.009018347672851664,0.00714352682662279,0.010872227666754912
1,1676,0.07070674224343676,0.060859188544152745,0.049643448402722425,0.07235692053862022
2,1220,0.12383934426229508,0.09016393442622951,0.07497913766412029,0.10678717637127438
3,861,0.17318118466898955,0.18118466898954705,0.15523792872968525,0.20577616209595506
4,915,0.2227327868852459,0.20655737704918034,0.17945682501073115,0.23174672262811546
5,1262,0.2686941362916006,0.23692551505546752,0.20951699181875394,0.26586976003186297
6,627,0.32738516746411483,0.3365231259968102,0.2992357251908397,0.37359203112233214
7,459,0.37523747276688457,0.35076252723311546,0.30578082850810123,0.3962934189784196
8,412,0.4214381067961165,0.39563106796116504,0.3472557799753785,0.4450134733926208
9,682,0.47900366568914954,0.30498533724340177,0.20722020964569832,0.4099604200147678
10,538,0.5155334572490707,0.4163568773234201,0.37362144139522957,0.462683414516808
11,367,0.5734482288828338,0.5395095367847411,0.48491943966341555,0.5971089779785432
12,262,0.6246507633587787,0.6297709923664122,0.5644657258064517,0.6961589068825911
13,295,0.6755762711864407,0.6372881355932203,0.5839263990267639,0.6962503047294003
14,238,0.7258403361344538,0.7563025210084033,0.7037000439174352,0.8114876698893092
15,247,0.7720688259109312,0.8421052631578947,0.796917154630232,0.8821481092436975
16,247,0.824748987854251,0.8582995951417004,0.8139353904624016,0.90348628416314
17,207,0.8749323671497584,0.8840579710144928,0.8371040723981901,0.926482339511147
18,277,0.9263664259927797,0.9638989169675091,0.943055414336553,0.9846757918750548
19,865,0.9834572254335261,0.9895953757225433,0.9816820276497695,0.9963813998859049
