bin,n,p_mean,y_freq,ci_lo,ci_hi
0,6802,0.012304469273743016,0.009703028521023229,0.007434324663284111,0.012104159214334493
1,1168,0.07095034246575344,0.04452054794520548,0.032173287721621424,0.05675053193814943
2,782,0.12451918158567775,0.10997442455242967,0.08900366240434958,0.1316154195198416
3,514,0.17438715953307393,0.17509727626459143,0.14391233766233769,0.20675979327391206
4,496,0.22381854838709678,0.20967741935483872,0.1733525164020563,0.2473699427187799
5,628,0.2687165605095541,0.24203821656050956,0.204215872156013,0.2805921133204983
6,302,0.32597185430463577,0.36423841059602646,0.3150684931506849,0.41641714362046467
7,271,0.3743985239852399,0.3284132841328413,0.2730600358422939,0.38248865850466746
8,247,0.4217226720647773,0.44534412955465585,0.38289235493777274,0.5106723404255319
9,284,0.4739947183098591,0.38028169014084506,0.3164949494949495,0.44933152629373563
10,341,0.5154750733137831,0.4281524926686217,0.3732123212321232,0.48286671987230645
11,221,0.5747398190045249,0.6018099547511312,0.5355284911275212,0.6650023584905661
12,138,0.6254275362318841,0.5217391304347826,0.425477558627116,0.610643238499232
13,168,0.674610119047619,0.6964285714285714,0.6280255270773046,0.7687620192307693
14,138,0.7257608695652173,0.7681159420289855,0.6944387052341597,0.84
15,123,0.7725731707317073,0.7560975609756098,0.6711875919846032,0.836138510697416
16,139,0.8252302158273381,0.8489208633093526,0.7902725453261126,0.9060119047619047
17,109,0.8750504587155963,0.908256880733945,0.8521739130434782,0.9569103081438004
18,208,0.9273942307692308,0.9326923076923077,0.8940074710236001,0.9666666666666667
19,590,0.9806754237288137,0.9915254237288136,0.9837820230654107,0.9982270288081341
