bin,n,p_mean,y_freq,ci_lo,ci_hi
0,12177,0.01051116859653445,0.0070624948673729164,0.005691307683949297,0.008617312153498681
1,1832,0.07011872270742359,0.056768558951965066,0.04700496112382862,0.06684939138398138
2,1389,0.12355075593952483,0.09791216702663787,0.083019057313617,0.11372280905870359
3,1042,0.1742101727447217,0.15451055662188098,0.13307608693600953,0.1757658606453787
4,1163,0.22339810834049872,0.20464316423043852,0.1818140533399389,0.22697326609244042
5,1612,0.2701799007444169,0.21339950372208435,0.191808853046411,0.23640313417096845
6,881,0.32773950056753687,0.3280363223609535,0.29574261634120275,0.3592604773727253
7,680,0.37393676470588233,0.3411764705882353,0.3071101468967707,0.37392540696476406
8,648,0.42154629629629625,0.36728395061728397,0.3327672567686022,0.405543399700999
9,688,0.4749709302325581,0.41569767441860467,0.37998979591836735,0.4563738583233988
10,629,0.5158259141494436,0.4483306836248013,0.3990887644232519,0.5
11,490,0.5742897959183674,0.563265306122449,0.5175134805693863,0.6109159978166274
12,342,0.6241111111111111,0.6052631578947368,0.5511370445401889,0.6581346059180658
13,431,0.675560324825986,0.7169373549883991,0.675718537414966,0.76178955453149
14,338,0.7251523668639053,0.7633136094674556,0.7158766762561456,0.8084590141041753
15,345,0.771,0.7855072463768116,0.7406181556195965,0.8291381650858572
16,336,0.8236860119047618,0.8392857142857143,0.7942849122090649,0.877747047459357
17,261,0.876404214559387,0.8888888888888888,0.8455529248925475,0.9267267661900757
18,364,0.9263722527472528,0.9725274725274725,0.9544105173876166,0.9870146649216417
19,1226,0.9850950244698206,0.9918433931484503,0.9866977377297619,0.9966444358256606
